feature,n_nonmissing,missing_pct,pct_zero,mean,median,std,skewness,p5,p95,max
ucdp_event_count,60393,29.86,75.97,0.5208,0.0,1.1151,2.3907,0.0,3.1355,7.6339
ucdp_fatalities_best,60393,29.86,76.91,0.8081,0.0,1.7188,2.1537,0.0,5.0039,13.5159
ucdp_fatalities_high,60393,29.86,75.98,0.8768,0.0,1.8199,2.0822,0.0,5.2933,14.2657
ucdp_civilian_deaths,60393,29.86,83.56,0.434,0.0,1.1643,3.065,0.0,3.3322,13.5145
ucdp_peak_event_fatalities,60393,29.86,76.91,0.6065,0.0,1.3163,2.3877,0.0,3.7136,11.7105
ucdp_fatality_uncertainty,60393,29.86,85.28,1.5926,0.0,31.6224,80.5388,0.0,2.5,4500.0
ucdp_state_based_events,60393,29.86,81.83,4.4928,0.0,44.2597,23.8763,0.0,14.0,1998.0
ucdp_non_state_events,60393,29.86,92.89,0.9104,0.0,10.3857,19.9822,0.0,1.0,403.0
ucdp_one_sided_events,60393,29.86,85.57,0.987,0.0,8.095,111.5486,0.0,5.0,1509.0
ucdp_has_conflict,60393,29.86,75.97,0.2403,0.0,0.4273,1.2157,0.0,1.0,1.0
acled_fatalities,62357,27.58,99.73,0.0264,0.0,0.5099,19.5189,0.0,0.0,13.2798
acled_battle_count,62357,27.58,99.84,0.0143,0.0,0.3619,25.383,0.0,0.0,11.2429
acled_explosion_count,62357,27.58,99.87,10.5278,0.0,353.4142,48.3203,0.0,0.0,30534.0
acled_violence_count,62357,27.58,99.8,22.9326,0.0,746.4943,63.1008,0.0,0.0,96691.0
gdelt_conflict_event_count,85925,0.2,10.27,3.9462,4.0431,2.346,0.0907,0.0,7.8505,12.2327
gdelt_goldstein_mean,78156,9.23,0.0,-9.3282,-9.4654,0.5852,2.2374,-10.0,-8.2402,-6.5
ucdp_fatalities_best_ld,60270,30.0,73.37,-0.0,0.0,0.9294,0.2395,-1.2599,1.2528,10.7843
ucdp_event_count_ld,60270,30.0,74.0,0.0,0.0,0.4387,-0.0842,-0.6931,0.6931,5.989
acled_fatalities_ld,62230,27.72,99.63,-0.0,0.0,0.4593,0.2799,0.0,0.0,13.1198
gdelt_conflict_event_count_ld,85750,0.41,8.66,0.0066,0.0,0.7851,0.193,-1.2739,1.3499,5.8021
