feature,n,mean,median,std,min,max,skewness,kurtosis,pct_zero,p01,p05,p25,p75,p95,p99,distribution_type,transform_rec
gpr_global,492,102.86333791996405,92.5978012084961,47.543339245549205,39.045623779296875,512.5297241210938,4.139164883382893,26.41059241692539,0.0,46.39351207733154,57.301164627075195,79.70136833190918,112.72666931152344,163.60357513427735,320.7912051391597,heavy-tailed,log1p
gpr_threats,492,105.63444067792194,95.78084564208984,44.830552280752485,36.68563461303711,403.713623046875,2.7573558678104297,11.789713185374449,0.0,47.32762924194336,58.73231830596924,79.27458763122559,121.54952239990236,172.54505233764647,298.90594238281193,heavy-tailed,log1p
gpr_acts,492,100.58894346981513,84.80536651611328,73.19214191637505,28.454627990722656,854.074951171875,5.793803796486386,48.77357608009386,0.0,35.78090496063233,44.08818130493164,67.92365646362305,109.30311584472658,188.9011260986328,433.6956445312487,heavy-tailed,log1p
gpr_country,21648,0.22171944207988517,0.06768490746617314,0.49300307237374447,0.0,13.229009628295898,7.0239719893905725,93.17822544834466,1.2564671101256468,0.0,0.0077014900743961,0.0277824085205793,0.193096786737442,0.9631728112697594,2.4535787773132296,heavy-tailed,log1p
tone_mean,114110,3.123991866338656,4.42331996729613,3.159566001126762,-14.4927536231884,19.4805194805195,-0.6474951245857857,-0.6967896196598273,0.07361318026465691,-3.8732858499454963,-2.4036417627915267,0.0,5.472000770424989,6.6825062379436195,8.16971993940703,normal-ish,raw
tone_min,114110,-4.625313635567403,0.0,8.883903160587188,-77.8985507246376,19.4805194805195,-1.202531530689989,0.4302524864947088,32.82359127158006,-28.5714285714286,-22.5806451612903,-10.653036663466924,0.72992700729927,3.7593984962406,6.55737704918033,normal-ish,raw
tone_max,114110,12.262470906317418,12.28620185275475,4.672841645672804,-14.4927536231884,80.2215189873418,0.103067335300168,1.283485308466632,0.09727455963543949,1.176887447892539,4.61095100864553,9.21052631578947,15.3061224489796,19.7916666666667,23.4848484848485,normal-ish,raw
tone_std,112556,2.5502484977810074,2.4332829025920257,0.9800132891119102,0.0,11.24942606433143,0.021019360684779484,0.5627060820711596,2.117168342869327,0.0,0.965504920232358,2.005173790285281,3.229560230328281,4.172626053547134,4.75357774221128,normal-ish,raw
event_count,114110,9818.238121111208,710.0,64627.99808692409,1.0,2349045.0,21.878555132718454,581.5521248141066,0.0,1.0,5.0,101.0,3714.0,35506.74999999994,144518.65000000075,heavy-tailed,log1p
total_articles,114110,60150.11903426518,3398.0,384136.03808936384,1.0,17359960.0,21.815119765355057,592.7722272727992,0.0,5.0,22.0,456.0,21084.75,229464.09999999998,896323.9300000046,heavy-tailed,log1p
hostile_event_count,114110,1052.0814477258784,49.0,6961.9798599500145,0.0,284088.0,19.808764965704356,496.4428444167141,12.835860134957496,0.0,0.0,5.0,318.0,3749.5499999999884,16637.650000000052,heavy-tailed,log1p
cooperative_event_count,114110,1348.4152309175356,104.0,8523.611539898351,0.0,306843.0,21.157290472112606,547.6228650819838,7.6356147576899485,0.0,0.0,14.0,530.0,4937.0,19671.550000000017,heavy-tailed,log1p
goldstein_mean,114110,1.0075358666560792,1.0885480525637885,1.4890844919360022,-10.0,10.0,-1.089432750114452,8.815900054130571,0.29357637367452455,-3.966666666666667,-1.2999999999999996,0.42245766932270934,1.720418448234447,3.0,5.0,heavy-tailed,raw
goldstein_min,114110,-8.821990184909506,-10.0,3.0358451051469992,-10.0,10.0,2.825991311305152,7.602091581901389,1.5686618175444744,-10.0,-10.0,-10.0,-10.0,-0.4,3.4,heavy-tailed,raw
vix_mean,432,19.461194964378016,17.68528643709869,7.415022613863248,10.125454512509434,62.639473362972865,2.0448195766626256,7.050473496235809,0.0,10.521956677581322,11.655477153736612,14.083095255352202,22.97925870449512,32.00353165099495,45.330253902964614,heavy-tailed,log1p
vix_vol,432,1.897547091432548,1.4238905504097512,1.5450514995295266,0.3028954716183843,14.560763132802007,3.170496788051151,15.632677288883539,0.0,0.4284205968839683,0.589735039335001,0.9837856800926867,2.3208647900874215,4.707818875991337,8.319085032487424,heavy-tailed,log1p
vix_close,432,19.4938194376451,17.494999885559082,7.411088995557446,9.510000228881836,59.88999938964844,1.728853979776164,4.59306732854537,0.0,10.472700099945067,11.56999969482422,13.81749987602234,23.38499927520752,32.32649955749511,44.666399726867674,normal-ish,raw
vix_pct_chg,431,1.9360439282878326,-1.1933144166426437,21.681063299015236,-45.89689782440855,134.57096182855562,1.4904909046097026,5.181490439172631,0.0,-36.33449015118595,-27.43976120069916,-11.089758457405757,10.818439526176915,41.74272489927144,72.78156200478698,heavy-tailed,raw
brent_oil_mean,222,78.11661063790399,75.44297836967137,23.72390704052663,26.63142867315383,134.0995452187278,0.19317547514736869,-0.811822432906137,0.0,32.529105175018316,43.24862883555424,61.77845050273329,97.5022306856902,114.6427822030468,124.51019099842418,normal-ish,raw
brent_oil_vol,222,2.4214466226414904,2.038669937608754,1.410565811469044,0.4519731397847592,10.568144434804394,2.244617279686507,8.506927661001841,0.0,0.5286481357894413,0.947998158338731,1.4922215604643274,3.04896954736024,4.81866866835608,7.683144178976077,heavy-tailed,log1p
brent_oil_close,222,78.42004517391996,75.18499755859375,23.901864416560308,22.739999771118164,139.8300018310547,0.17943784469823038,-0.7602134554778952,0.0,34.863901710510255,43.3654993057251,61.499999046325684,99.61749839782715,115.51500282287596,125.4889002227783,normal-ish,raw
