Month ID,Date,Model,CRPS,ab-Log Score,MIS
535,Jul 2024,Brandt_NB_GAM,52356050.45,0.825,1047120988.4
536,Aug 2024,Brandt_NB_GAM,48.61,0.785,903.6
537,Sep 2024,Brandt_NB_GAM,126.78,0.872,2278.3
538,Oct 2024,Brandt_NB_GAM,41499306.84,0.922,86207986.9
539,Nov 2024,Brandt_NB_GAM,58.36,0.999,1095.1
540,Dec 2024,Brandt_NB_GAM,55.85,0.875,1051.0
541,Jan 2025,Brandt_NB_GAM,59.89,1.048,1119.6
542,Feb 2025,Brandt_NB_GAM,68.15,0.952,1268.0
543,Mar 2025,Brandt_NB_GAM,46.51,0.939,828.2
544,Apr 2025,Brandt_NB_GAM,50.28,1.012,979.5
545,May 2025,Brandt_NB_GAM,47.31,1.145,865.6
546,Jun 2025,Brandt_NB_GAM,91.27,0.958,1723.7
535,Jul 2024,Brandt_NB_GLMM,18.16,1.211,231.1
536,Aug 2024,Brandt_NB_GLMM,16.19,1.041,183.1
537,Sep 2024,Brandt_NB_GLMM,22.0,1.034,321.3
538,Oct 2024,Brandt_NB_GLMM,28.72,1.211,459.6
539,Nov 2024,Brandt_NB_GLMM,29.59,1.229,523.7
540,Dec 2024,Brandt_NB_GLMM,26.19,1.055,411.0
541,Jan 2025,Brandt_NB_GLMM,35.87,1.296,582.1
542,Feb 2025,Brandt_NB_GLMM,56.78,1.358,991.6
543,Mar 2025,Brandt_NB_GLMM,20.14,1.159,279.4
544,Apr 2025,Brandt_NB_GLMM,20.85,1.106,325.3
545,May 2025,Brandt_NB_GLMM,10.65,1.335,149.7
546,Jun 2025,Brandt_NB_GLMM,16.97,1.034,231.6
535,Jul 2024,Brandt_P_GAM,85.84,1.406,1675.3
536,Aug 2024,Brandt_P_GAM,111.6,1.272,2189.7
537,Sep 2024,Brandt_P_GAM,151.56,1.402,2983.7
538,Oct 2024,Brandt_P_GAM,211.07,1.519,4165.8
539,Nov 2024,Brandt_P_GAM,348.87,1.703,6913.3
540,Dec 2024,Brandt_P_GAM,713.73,1.42,14196.5
541,Jan 2025,Brandt_P_GAM,2007.02,1.761,40036.3
542,Feb 2025,Brandt_P_GAM,10887.32,1.849,217554.4
543,Mar 2025,Brandt_P_GAM,5883146.77,1.612,117659560.2
544,Apr 2025,Brandt_P_GAM,666.05,1.786,13249.5
545,May 2025,Brandt_P_GAM,875.18,1.771,17428.0
546,Jun 2025,Brandt_P_GAM,1247.79,1.484,24873.2
535,Jul 2024,Brandt_P_GLMM,29.3,1.256,562.9
536,Aug 2024,Brandt_P_GLMM,21.74,1.153,412.6
537,Sep 2024,Brandt_P_GLMM,29.1,0.972,558.9
538,Oct 2024,Brandt_P_GLMM,39.59,1.131,769.3
539,Nov 2024,Brandt_P_GLMM,38.41,1.059,745.6
540,Dec 2024,Brandt_P_GLMM,36.33,0.94,705.4
541,Jan 2025,Brandt_P_GLMM,41.27,1.319,804.0
542,Feb 2025,Brandt_P_GLMM,62.59,1.286,1228.9
543,Mar 2025,Brandt_P_GLMM,27.43,1.235,525.9
544,Apr 2025,Brandt_P_GLMM,26.85,1.02,514.5
545,May 2025,Brandt_P_GLMM,19.61,1.611,368.5
546,Jun 2025,Brandt_P_GLMM,28.34,1.059,544.6
535,Jul 2024,PaCE_ShapeFinder,22.56,0.723,173.2
536,Aug 2024,PaCE_ShapeFinder,21.13,0.639,203.3
537,Sep 2024,PaCE_ShapeFinder,25.6,0.641,242.4
538,Oct 2024,PaCE_ShapeFinder,39.23,0.802,509.5
539,Nov 2024,PaCE_ShapeFinder,38.19,0.914,549.2
540,Dec 2024,PaCE_ShapeFinder,34.27,0.62,336.8
541,Jan 2025,PaCE_ShapeFinder,42.18,0.936,562.9
542,Feb 2025,PaCE_ShapeFinder,58.6,0.955,853.9
543,Mar 2025,PaCE_ShapeFinder,30.4,0.9,289.9
544,Apr 2025,PaCE_ShapeFinder,30.65,0.804,366.8
545,May 2025,PaCE_ShapeFinder,21.49,1.155,194.9
546,Jun 2025,PaCE_ShapeFinder,28.56,0.826,279.2
535,Jul 2024,Brandt_TW_GAM,122.53,0.853,1943.5
536,Aug 2024,Brandt_TW_GAM,169.42,0.953,2805.8
