feature_name,source,dtype,missing_pct,mean,std,min,max,log1p_applied,lag_months
ucdp_event_count,UCDP,float64,29.86,0.5208,1.1151,0.0,7.6339,True,1
ucdp_fatalities_best,UCDP,float64,29.86,0.8081,1.7188,0.0,13.5159,True,1
ucdp_fatalities_high,UCDP,float64,29.86,0.8768,1.8199,0.0,14.2657,True,1
ucdp_civilian_deaths,UCDP,float64,29.86,0.434,1.1643,0.0,13.5145,True,1
ucdp_peak_event_fatalities,UCDP,float64,29.86,0.6065,1.3163,0.0,11.7105,True,1
ucdp_fatality_uncertainty,UCDP,float64,29.86,1.5926,31.6224,-364.8587,4500.0,False,1
ucdp_state_based_events,UCDP,float64,29.86,4.4928,44.2597,0.0,1998.0,False,1
ucdp_non_state_events,UCDP,float64,29.86,0.9104,10.3857,0.0,403.0,False,1
ucdp_one_sided_events,UCDP,float64,29.86,0.987,8.095,0.0,1509.0,False,1
ucdp_has_conflict,UCDP,float64,29.86,0.2403,0.4273,0.0,1.0,False,1
acled_event_count,ACLED,float64,27.58,0.0613,0.7745,0.0,14.4402,True,1
acled_fatalities,ACLED,float64,27.58,0.0264,0.5099,0.0,13.2798,True,1
acled_peak_fatalities,ACLED,float64,27.58,0.0093,0.3116,0.0,40.0,False,1
acled_battle_count,ACLED,float64,27.58,0.0143,0.3619,0.0,11.2429,True,1
acled_explosion_count,ACLED,float64,27.58,10.5278,353.4142,0.0,30534.0,False,1
acled_violence_count,ACLED,float64,27.58,22.9326,746.4943,0.0,96691.0,False,1
acled_protest_count,ACLED,float64,27.58,284.0053,13296.4861,0.0,1618302.0,False,1
acled_riot_count,ACLED,float64,27.58,63.0851,2989.8468,0.0,310429.0,False,1
gdelt_conflict_event_count,GDELT,Float64,0.2,3.9462,2.346,0.0,12.2327,True,1
gdelt_protest_event_count,GDELT,Int64,0.2,89.501,596.4656,0.0,63679.0,False,1
gdelt_goldstein_mean,GDELT,float64,9.23,-9.3282,0.5852,-10.0,-6.5,False,1
