country_iso3,year_month,gdelt_conflict_event_count,gdelt_protest_event_count,gdelt_goldstein_mean
AFG,1985-01,156,7,-9.733128834355826
AFG,1985-02,165,13,-9.617977528089886
AFG,1985-03,152,14,-9.5933734939759
AFG,1985-04,185,7,-9.760416666666668
AFG,1985-05,197,9,-9.776699029126215
AFG,1985-06,253,4,-9.879377431906617
AFG,1985-07,194,5,-9.756281407035178
AFG,1985-08,309,5,-9.856687898089174
AFG,1985-09,287,6,-9.88566552901024
AFG,1985-10,267,6,-9.855311355311358
AFG,1985-11,231,6,-9.822784810126588
AFG,1985-12,263,8,-9.754612546125463
AFG,1986-01,230,7,-9.829113924050633
AFG,1986-02,246,9,-9.801960784313732
AFG,1986-03,255,27,-9.60283687943262
AFG,1986-04,277,13,-9.777586206896553
AFG,1986-05,274,15,-9.776816608996533
AFG,1986-06,232,7,-9.849372384937237
AFG,1986-07,220,8,-9.749999999999996
AFG,1986-08,206,5,-9.8649289099526
AFG,1986-09,237,12,-9.781124497991962
AFG,1986-10,209,4,-9.821596244131463
AFG,1986-11,239,28,-9.475655430711615
AFG,1986-12,190,28,-9.449541284403674
AFG,1987-01,192,13,-9.646341463414636
AFG,1987-02,328,12,-9.820588235294123
AFG,1987-03,325,13,-9.837278106508876
AFG,1987-04,297,14,-9.808681672025722
AFG,1987-05,266,2,-9.83955223880597
AFG,1987-06,221,5,-9.827433628318582
AFG,1987-07,174,10,-9.758152173913047
AFG,1987-08,211,4,-9.906976744186046
AFG,1987-09,203,11,-9.77336448598131
AFG,1987-10,227,17,-9.674180327868848
AFG,1987-11,191,9,-9.772499999999997
AFG,1987-12,240,34,-9.496350364963506
AFG,1988-01,239,6,-9.822448979591837
AFG,1988-02,162,7,-9.825443786982255
AFG,1988-03,172,12,-9.6875
AFG,1988-04,282,28,-9.567741935483877
AFG,1988-05,368,12,-9.728947368421055
AFG,1988-06,336,9,-9.804347826086957
AFG,1988-07,391,3,-9.878172588832488
AFG,1988-08,475,14,-9.792433537832306
AFG,1988-09,553,6,-9.90608228980322
AFG,1988-10,486,7,-9.864097363083166
AFG,1988-11,476,14,-9.813265306122444
AFG,1988-12,238,4,-9.824380165289252
AFG,1989-01,448,21,-9.788912579957357
AFG,1989-02,562,15,-9.766031195840553
AFG,1989-03,600,30,-9.727777777777774
AFG,1989-04,568,12,-9.823275862068968
AFG,1989-05,309,9,-9.80974842767296
AFG,1989-06,239,8,-9.801619433198374
AFG,1989-07,456,10,-9.796137339055797
AFG,1989-08,344,11,-9.81690140845071
AFG,1989-09,388,8,-9.835858585858587
AFG,1989-10,179,4,-9.830601092896172
AFG,1989-11,186,8,-9.770618556701033
AFG,1989-12,180,6,-9.836021505376346
AFG,1990-01,164,12,-9.71306818181818
AFG,1990-02,64,4,-9.676470588235295
AFG,1990-03,213,6,-9.817351598173522
AFG,1990-04,134,0,-9.951492537313435
AFG,1990-05,109,1,-9.936363636363637
AFG,1990-06,109,3,-9.86160714285714
AFG,1990-07,118,0,-9.872881355932202
AFG,1990-08,56,1,-9.885964912280702
AFG,1990-09,18,1,-9.605263157894738
AFG,1990-10,90,7,-9.644329896907218
AFG,1990-11,141,1,-9.90492957746479
AFG,1990-12,91,3,-9.76063829787234
AFG,1991-01,41,3,-9.71590909090909
AFG,1991-02,61,0,-9.934426229508196
AFG,1991-03,73,15,-9.335227272727272
AFG,1991-04,237,16,-9.685770750988146
AFG,1991-05,91,0,-9.851648351648349
AFG,1991-06,156,5,-9.863354037267078
AFG,1991-07,166,18,-9.562500000000002
AFG,1991-08,133,3,-9.830882352941174
AFG,1991-09,124,5,-9.829457364341083
AFG,1991-10,294,1,-9.789830508474573
AFG,1991-11,114,10,-9.641129032258064
AFG,1991-12,129,4,-9.793233082706772
AFG,1992-01,51,1,-9.865384615384615
AFG,1992-02,25,0,-9.92
AFG,1992-03,78,0,-9.88461538461538
AFG,1992-04,503,10,-9.795321637426897
AFG,1992-05,209,33,-9.524793388429748
AFG,1992-06,261,14,-9.798181818181817
AFG,1992-07,133,3,-9.878676470588237
AFG,1992-08,300,1,-9.92358803986711
AFG,1992-09,112,8,-9.695833333333333
AFG,1992-10,71,0,-9.943661971830988
AFG,1992-11,93,8,-9.717821782178216
AFG,1992-12,186,7,-9.748704663212434
AFG,1993-01,210,3,-9.920187793427228
AFG,1993-02,267,20,-9.681184668989545
AFG,1993-03,102,4,-9.81603773584906
AFG,1993-04,101,1,-9.789215686274513
AFG,1993-05,249,4,-9.901185770750992
AFG,1993-06,103,3,-9.83490566037736
AFG,1993-07,246,5,-9.892430278884463
AFG,1993-08,154,5,-9.713836477987423
AFG,1993-09,47,4,-9.715686274509803
AFG,1993-10,75,1,-9.86842105263158
AFG,1993-11,223,2,-9.926666666666666
AFG,1993-12,98,1,-9.924242424242422
AFG,1994-01,634,2,-9.919025157232706
AFG,1994-02,237,10,-9.714574898785429
AFG,1994-03,259,13,-9.768382352941185
AFG,1994-04,152,10,-9.731481481481477
AFG,1994-05,117,0,-9.884615384615387
AFG,1994-06,235,1,-9.883474576271185
AFG,1994-07,195,7,-9.77227722772277
AFG,1994-08,190,3,-9.810880829015547
AFG,1994-09,189,0,-9.92592592592593
AFG,1994-10,185,2,-9.935828877005354
AFG,1994-11,161,5,-9.822289156626507
AFG,1994-12,70,5,-9.660000000000002
AFG,1995-01,188,4,-9.872395833333336
AFG,1995-02,334,11,-9.766666666666667
AFG,1995-03,384,2,-9.86010362694301
AFG,1995-04,253,14,-9.756554307116103
AFG,1995-05,145,2,-9.829931972789117
AFG,1995-06,185,4,-9.843915343915342
AFG,1995-07,85,1,-9.84302325581395
AFG,1995-08,137,3,-9.835714285714285
AFG,1995-09,221,9,-9.702173913043477
AFG,1995-10,236,2,-9.850840336134453
AFG,1995-11,291,4,-9.837288135593218
AFG,1995-12,223,2,-9.895555555555559
AFG,1996-01,220,5,-9.862222222222215
AFG,1996-02,263,0,-9.95627376425856
AFG,1996-03,160,4,-9.844512195121956
AFG,1996-04,140,0,-9.91428571428571
AFG,1996-05,189,2,-9.910994764397905
AFG,1996-06,176,2,-9.834269662921354
AFG,1996-07,228,5,-9.80257510729613
AFG,1996-08,160,5,-9.745454545454548
AFG,1996-09,823,21,-9.71682464454976
AFG,1996-10,1466,35,-9.798134576948703
AFG,1996-11,519,15,-9.823033707865171
AFG,1996-12,262,23,-9.635087719298243
AFG,1997-01,388,15,-9.725806451612902
AFG,1997-02,279,8,-9.62717770034843
AFG,1997-03,160,11,-9.640350877192981
AFG,1997-04,221,4,-9.822222222222223
AFG,1997-05,846,34,-9.778409090909083
AFG,1997-06,570,11,-9.808089500860584
AFG,1997-07,409,7,-9.835336538461542
AFG,1997-08,367,3,-9.868918918918913
AFG,1997-09,468,18,-9.79835390946502
AFG,1997-10,336,2,-9.887573964497044
AFG,1997-11,159,3,-9.790123456790127
AFG,1997-12,262,3,-9.892452830188677
AFG,1998-01,228,2,-9.828260869565215
AFG,1998-02,304,1,-9.87540983606557
AFG,1998-03,262,16,-9.73021582733813
AFG,1998-04,149,1,-9.869999999999997
AFG,1998-05,308,7,-9.83333333333334
AFG,1998-06,227,1,-9.899122807017545
AFG,1998-07,338,7,-9.808695652173917
AFG,1998-08,1508,60,-9.722257653061217
AFG,1998-09,1044,30,-9.792364990689011
AFG,1998-10,642,18,-9.8030303030303
AFG,1998-11,472,9,-9.872141372141364
AFG,1998-12,327,19,-9.697976878612717
AFG,1999-01,191,1,-9.817708333333329
AFG,1999-02,168,3,-9.827485380116965
AFG,1999-03,248,13,-9.749042145593869
AFG,1999-04,199,13,-9.716981132075478
AFG,1999-05,381,8,-9.78663239074551
AFG,1999-06,210,7,-9.751152073732712
AFG,1999-07,469,13,-9.825726141078837
AFG,1999-08,801,26,-9.802297460701329
AFG,1999-09,373,16,-9.767352185089981
AFG,1999-10,346,8,-9.822033898305095
AFG,1999-11,286,88,-9.10427807486631
