country_iso3,year_month,ucdp_event_count,ucdp_fatalities_best,ucdp_fatalities_high,ucdp_civilian_deaths,ucdp_peak_event_fatalities,ucdp_fatality_uncertainty,ucdp_state_based_events,ucdp_non_state_events,ucdp_one_sided_events,ucdp_has_conflict
AFG,1985-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1985-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1985-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1985-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1985-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1985-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1985-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1985-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1985-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1985-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1985-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1985-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1986-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1986-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1986-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1986-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1986-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1986-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1986-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1986-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1986-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1986-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1986-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1986-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1987-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1987-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1987-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1987-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1987-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1987-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1987-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1987-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1987-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1987-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1987-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1987-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1988-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1988-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1988-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1988-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1988-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1988-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1988-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1988-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1988-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1988-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1988-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1988-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1989-01,13.0,714.0,1124.0,0.0,600.0,32.23076923076923,13.0,0.0,0.0,1
AFG,1989-02,16.0,160.0,160.0,23.0,68.0,7.4375,16.0,0.0,0.0,1
AFG,1989-03,20.0,1744.0,9005.0,96.0,429.0,424.45,20.0,0.0,0.0,1
AFG,1989-04,26.0,494.0,1359.0,86.0,67.0,49.84615384615385,26.0,0.0,0.0,1
AFG,1989-05,18.0,454.0,1723.0,28.0,194.0,94.77777777777777,17.0,1.0,0.0,1
AFG,1989-06,16.0,495.0,1137.0,25.0,133.0,65.9375,16.0,0.0,0.0,1
AFG,1989-07,12.0,620.0,829.0,10.0,180.0,65.25,9.0,3.0,0.0,1
AFG,1989-08,6.0,410.0,1505.0,1.0,200.0,182.5,3.0,3.0,0.0,1
AFG,1989-09,8.0,71.0,71.0,11.0,13.0,4.0,8.0,0.0,0.0,1
AFG,1989-10,6.0,239.0,719.0,19.0,200.0,83.83333333333333,6.0,0.0,0.0,1
AFG,1989-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1989-12,4.0,10.0,10.0,4.0,4.0,1.0,3.0,1.0,0.0,1
AFG,1990-01,1.0,25.0,25.0,0.0,25.0,0.0,1.0,0.0,0.0,1
AFG,1990-02,3.0,54.0,96.0,0.0,31.0,24.333333333333332,3.0,0.0,0.0,1
AFG,1990-03,4.0,149.0,254.0,95.0,108.0,26.25,4.0,0.0,0.0,1
AFG,1990-04,8.0,489.0,1139.0,3.0,450.0,81.625,8.0,0.0,0.0,1
AFG,1990-05,1.0,8.0,8.0,0.0,8.0,0.0,1.0,0.0,0.0,1
AFG,1990-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1990-07,8.0,95.0,95.0,2.0,46.0,11.875,8.0,0.0,0.0,1
AFG,1990-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1990-09,1.0,16.0,16.0,0.0,16.0,0.0,0.0,1.0,0.0,1
AFG,1990-10,12.0,651.0,651.0,0.0,205.0,0.6666666666666666,7.0,5.0,0.0,1
AFG,1990-11,7.0,27.0,27.0,1.0,13.0,2.5714285714285716,7.0,0.0,0.0,1
AFG,1990-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1991-01,2.0,25.0,25.0,0.0,22.0,1.5,2.0,0.0,0.0,1
AFG,1991-02,1.0,5.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,1
AFG,1991-03,8.0,1765.0,1765.0,1.0,1575.0,0.0,8.0,0.0,0.0,1
AFG,1991-04,3.0,310.0,810.0,0.0,300.0,166.66666666666666,3.0,0.0,0.0,1
AFG,1991-05,4.0,234.0,234.0,0.0,153.0,0.0,4.0,0.0,0.0,1
AFG,1991-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1991-07,6.0,282.0,282.0,20.0,200.0,7.833333333333333,5.0,1.0,0.0,1
AFG,1991-08,11.0,360.0,360.0,0.0,100.0,0.0,9.0,2.0,0.0,1
AFG,1991-09,5.0,51.0,51.0,6.0,31.0,1.2,5.0,0.0,0.0,1
AFG,1991-10,15.0,208.0,208.0,6.0,80.0,5.733333333333333,15.0,0.0,0.0,1
AFG,1991-11,5.0,290.0,290.0,16.0,200.0,0.0,4.0,1.0,0.0,1
AFG,1991-12,4.0,23.0,23.0,0.0,14.0,1.0,4.0,0.0,0.0,1
AFG,1992-01,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1
AFG,1992-02,2.0,35.0,35.0,2.0,31.0,0.0,2.0,0.0,0.0,1
AFG,1992-03,3.0,5.0,5.0,3.0,3.0,0.0,3.0,0.0,0.0,1
AFG,1992-04,10.0,799.0,1443.0,700.0,700.0,64.4,10.0,0.0,0.0,1
AFG,1992-05,9.0,99.0,398.0,5.0,40.0,35.111111111111114,7.0,0.0,2.0,1
AFG,1992-06,10.0,182.0,209.0,104.0,107.0,2.7,10.0,0.0,0.0,1
AFG,1992-07,4.0,161.0,161.0,1.0,60.0,0.0,4.0,0.0,0.0,1
AFG,1992-08,21.0,2694.0,2804.0,871.0,766.0,5.238095238095238,21.0,0.0,0.0,1
AFG,1992-09,9.0,68.0,468.0,7.0,25.0,44.44444444444444,8.0,0.0,1.0,1
AFG,1992-10,1.0,150.0,150.0,0.0,150.0,0.0,1.0,0.0,0.0,1
AFG,1992-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AFG,1992-12,6.0,190.0,190.0,0.0,50.0,0.0,3.0,3.0,0.0,1
AFG,1993-01,20.0,1180.0,4904.0,3.0,562.0,186.2,20.0,0.0,0.0,1
AFG,1993-02,22.0,557.0,567.0,130.0,176.0,0.45454545454545453,15.0,0.0,7.0,1
AFG,1993-03,4.0,30.0,30.0,3.0,22.0,0.0,4.0,0.0,0.0,1
AFG,1993-04,3.0,37.0,37.0,0.0,31.0,0.0,3.0,0.0,0.0,1
AFG,1993-05,16.0,1034.0,1534.0,0.0,374.0,31.25,15.0,0.0,1.0,1
AFG,1993-06,9.0,51.0,51.0,3.0,15.0,0.8888888888888888,9.0,0.0,0.0,1
AFG,1993-07,9.0,372.0,416.0,354.0,350.0,4.888888888888889,8.0,0.0,1.0,1
AFG,1993-08,7.0,272.0,272.0,0.0,130.0,0.0,7.0,0.0,0.0,1
AFG,1993-09,5.0,75.0,75.0,0.0,55.0,0.0,5.0,0.0,0.0,1
