id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
609987,AFG-2026-3-951-0,2026,false,Clear,3,130,484,Government of Afghanistan - Civilians,130,951,Government of Afghanistan - Civilians,130,130,Government of Afghanistan,9999,1,Civilians,2,"""Kabul Now,2026-01-08,Former Pro-Government Militia Commander Killed in Jawzjan"";""The Afghan Digest,2026-01-12,The Week of January 5-11""",Kabul Now;The Afghan Digest,2026-01-08;2026-01-12,Former Pro-Government Militia Commander Killed in Jawzjan;The Week of January 5-11,Local sources; Afghan Digest,3,Khwaja Du Koh district,center of Khwaja Dokoh district,Jawzjan province,Khwaja Du Koh district,36.936997,65.598732,POINT (65.598732 36.936997),182652,Afghanistan,700,Asia,1,1,2026-01-07 00:00:00.000,2026-01-07 00:00:00.000,0,0,1,0,1,1,0,700,
610972,AFG-2026-3-951-2,2026,false,Clear,3,130,484,Government of Afghanistan - Civilians,130,951,Government of Afghanistan - Civilians,130,130,Government of Afghanistan,9999,1,Civilians,2,"""Kabul Now,2026-01-16,Young Man Killed, Another Wounded in Taliban Gunfire in Western Afghanistan"";""Etilaat Roz,2026-01-16,A young man was killed in shooting by Taliban forces in Herat""",Kabul Now;Etilaat Roz,2026-01-16;2026-01-16,"Young Man Killed, Another Wounded in Taliban Gunfire in Western Afghanistan;A young man was killed in shooting by Taliban forces in Herat",local sources,1,Hirat town,fifth district of Herat city,Hirat province,Hirat district,34.349991,62.200001,POINT (62.200001 34.349991),179045,Afghanistan,700,Asia,1,1,2026-01-15 00:00:00.000,2026-01-15 00:00:00.000,0,0,0,0,0,1,0,700,
610945,AFG-2026-1-14320-0,2026,false,Clear,1,13637,13637,Afghanistan: Islamic State,14320,14320,Government of Afghanistan - IS,130,130,Government of Afghanistan,234,234,IS,3,"""@khorasandiary on Twitter (X),2026-01-12,BREAKING: ISKP-Affiliated Suicide Bomber Killed Before Attack in Herat, Afghanistan"";""Afghan Analyst on Twitter (X),2026-01-13,Report Suggests Disgruntled Ex-Taliban Fighter was Behind Foiled Suicide Attack in Herat"";""BBC Monitoring Round-up,2026-01-23,Afghanistan security narratives 14-20 Jan 26
CR 	Source: BBC Monitoring in Dari and Pashto 0000 GMT 22 Jan 26""",@khorasandiary on Twitter (X);Afghan Analyst on Twitter (X);BBC Monitoring Round-up,2026-01-12;2026-01-13;2026-01-23,"BREAKING: ISKP-Affiliated Suicide Bomber Killed Before Attack in Herat, Afghanistan;Report Suggests Disgruntled Ex-Taliban Fighter was Behind Foiled Suicide Attack in Herat;Afghanistan security narratives 14-20 Jan 26
CR 	Source: BBC Monitoring in Dari and Pashto 0000 GMT 22 Jan 26",Local security sources; @AFIntlBrk,4,Hirat province,Herat,Hirat province,,34.500000,62.000000,POINT (62 34.5),179765,Afghanistan,700,Asia,1,1,2026-01-12 00:00:00.000,2026-01-12 00:00:00.000,2,1,0,0,3,3,0,700,
610946,AFG-2026-1-14320-1,2026,false,Check dyad,1,13637,13637,Afghanistan: Islamic State,14320,14320,Government of Afghanistan - IS,130,130,Government of Afghanistan,234,234,IS,8,"""Afghan Analyst on Twitter (X),2026-01-19,ISKP Claims Suicide Bombing at Chinese Hotel in Kabul"";""Afghan Analyst on Twitter (X),2026-01-19,Taliban Kabul Police Spokesman Provides Update on Explosion"";""Afghan Analyst on Twitter (X),2026-01-19,Twenty people have been received at EMERGENCY’s Surgical Centre in Kabul following an explosion this afternoon in the Shahr-e-Naw area, near the hospital. Among those received were seven people dead on arrival."";""Tolo News,2026-01-19,Reuters has reported that ISIS claimed responsibility for an attack targeting a restaurant jointly run by Chinese Muslims and Afghans in Kabul's Shahr-e-Naw area.  "";""Kabul Now,2026-01-20,Kabul Explosion Kills At least Seven, Hospital Says"";""Khaama Press,2026-01-20,Islamic State Khorasan Claims Suicide Attack on Chinese Restaurant in Kabul"";""Agence France Presse,2026-01-19,Islamic State group claims responsibility for Kabul attack: SITE"";""BBC Monitoring Round-up,2026-01-23,Afghanistan security narratives 14-20 Jan 26
CR 	Source: BBC Monitoring in Dari and Pashto 0000 GMT 22 Jan 26""",Afghan Analyst on Twitter (X);Afghan Analyst on Twitter (X);Afghan Analyst on Twitter (X);Tolo News;Kabul Now;Khaama Press;Agence France Presse;BBC Monitoring Round-up,2026-01-19;2026-01-19;2026-01-19;2026-01-19;2026-01-20;2026-01-20;2026-01-19;2026-01-23,"ISKP Claims Suicide Bombing at Chinese Hotel in Kabul;Taliban Kabul Police Spokesman Provides Update on Explosion;Twenty people have been received at EMERGENCY’s Surgical Centre in Kabul following an explosion this afternoon in the Shahr-e-Naw area, near the hospital. Among those received were seven people dead on arrival.;Reuters has reported that ISIS claimed responsibility for an attack targeting a restaurant jointly run by Chinese Muslims and Afghans in Kabul's Shahr-e-Naw area.  ;Kabul Explosion Kills At least Seven, Hospital Says;Islamic State Khorasan Claims Suicide Attack on Chinese Restaurant in Kabul;Islamic State group claims responsibility for Kabul attack: SITE;Afghanistan security narratives 14-20 Jan 26
CR 	Source: BBC Monitoring in Dari and Pashto 0000 GMT 22 Jan 26",ISKP; EMERGENCY’s Surgical Centre in Kabul; Kabul Police spokesman,1,Kabul city,"Gulfaroshi Street in Shahr-e-Naw, Kabul",Kabul province,Kabul district,34.531094,69.162796,POINT (69.162796 34.531094),179779,Afghanistan,700,Asia,1,1,2026-01-19 00:00:00.000,2026-01-19 00:00:00.000,1,1,6,0,8,8,7,700,
609945,AFG-2026-1-16825-0,2026,false,Clear,1,333,333,Afghanistan: Government,16825,16825,Government of Afghanistan - NRF,130,130,Government of Afghanistan,8114,8114,NRF,4,"""@khorasandiary on Twitter,2026-01-05,ALERT: Anti-Taliban Commander Killed in Special Security Operation in Baghlan, Afghanistan"";""NRF,2026-01-05,Declaration of the National Resistance Front of Afghanistan Regarding the Taliban Crime Against the Pure Bodies of Resistance Martyrs"";""The Afghan Digest,2026-01-12,The Week of January 5-11"";""Etilaat Roz,2026-01-05,The Resistance Front confirmed the exhumation of one of its commanders by the Taliban in Baghlan.""",@khorasandiary on Twitter;NRF;The Afghan Digest;Etilaat Roz,2026-01-05;2026-01-05;2026-01-12;2026-01-05,"ALERT: Anti-Taliban Commander Killed in Special Security Operation in Baghlan, Afghanistan;Declaration of the National Resistance Front of Afghanistan Regarding the Taliban Crime Against the Pure Bodies of Resistance Martyrs;The Week of January 5-11;The Resistance Front confirmed the exhumation of one of its commanders by the Taliban in Baghlan.",Local Taliban Officials; NRF,3,Nahrin district,"Baghlan province, Nahrin district",Baghlan province,Nahrin district,35.987508,69.022563,POINT (69.022563 35.987508),181219,Afghanistan,700,Asia,1,1,2026-01-04 00:00:00.000,2026-01-04 00:00:00.000,0,0,0,0,0,1,0,700,
609025,AFG-2026-1-17083-1,2026,false,Clear,1,333,333,Afghanistan: Government,17083,17083,Government of Afghanistan - AFF,130,130,Government of Afghanistan,8343,8343,AFF,2,"""AFF,2026-01-02,Freedom Fighters of the Afghanistan Freedom Front carried out a rocket attack on the Taliban’s Court  building in the center of Faryab province at around 6:30 p.m. on Thursday, January 1, 2026."";""Kabul Now,2026-01-02,Afghanistan Freedom Front Claims Responsibility for Explosion in Maimana""",AFF;Kabul Now,2026-01-02;2026-01-02,"Freedom Fighters of the Afghanistan Freedom Front carried out a rocket attack on the Taliban’s Court  building in the center of Faryab province at around 6:30 p.m. on Thursday, January 1, 2026.;Afghanistan Freedom Front Claims Responsibility for Explosion in Maimana",AFF; local sources,1,Maymana town,Taliban’s Court  building in the center of Faryab province,Faryab province,Maymana district,35.917320,64.784760,POINT (64.78476 35.91732),181210,Afghanistan,700,Asia,1,1,2026-01-01 00:00:00.000,2026-01-01 00:00:00.000,0,0,0,0,0,4,0,700,
609855,ARG-2026-3-3-XXX160-4,2026,false,Check dyad,3,XXX160,4264,XXX160 - Civilians,XXX160,4870,XXX160 - Civilians,XXX160,3600,XXX160,9999,1,Civilians,1,"""El Ciudadano,2026-01-08,A 42-year-old man who was shot on January 1° in Pérez died""",El Ciudadano,2026-01-08,A 42-year-old man who was shot on January 1° in Pérez died,El Ciudadano,1,Pérez town,"Santa Fe province
Rosario department
Los Guayacanes at 100, in Pérez",Santa Fe province,Rosario department,-32.997825,-60.773785,POINT (-60.773785069799814 -32.997825373676932),82319,Argentina,160,Americas,1,1,2026-01-01 00:00:00.000,2026-01-01 00:00:00.000,0,0,1,0,1,1,1,,
609850,ARG-2026-3-3-XXX160-0,2026,false,Check dyad,3,XXX160,4264,XXX160 - Civilians,XXX160,4870,XXX160 - Civilians,XXX160,3600,XXX160,9999,1,Civilians,1,"""El Ciudadano,2026-01-01,They found two men shot to death inside a boat drifting down the Coronda River""",El Ciudadano,2026-01-01,They found two men shot to death inside a boat drifting down the Coronda River,El Ciudadano,2,Sauce Viejo town,"Santa Fe province
Sauce Viejo, Coronda River",Santa Fe province,Santa Fe department,-31.772302,-60.835707,POINT (-60.835707318679766 -31.77230236919884),83759,Argentina,160,Americas,1,1,2026-01-01 00:00:00.000,2026-01-01 00:00:00.000,0,0,2,0,2,2,2,,
609852,ARG-2026-3-3-XXX160-2,2026,false,Check dyad,3,XXX160,4264,XXX160 - Civilians,XXX160,4870,XXX160 - Civilians,XXX160,3600,XXX160,9999,1,Civilians,1,"""El Ciudadano,2026-01-05,They identified the motorist pursued and executed by a duo of motorcyclists in the western area """,El Ciudadano,2026-01-05,They identified the motorist pursued and executed by a duo of motorcyclists in the western area,El Ciudadano,1,Rosario town,"Santa Fe province
Rosario department
Rosario town, Campbell at 2800, between Virasoro and Rueda",Santa Fe province,Rosario department,-32.957500,-60.639444,POINT (-60.639444 -32.9575),82319,Argentina,160,Americas,1,1,2026-01-04 00:00:00.000,2026-01-04 00:00:00.000,0,0,1,0,1,1,1,,
609858,ARG-2026-3-3-XXX160-5,2026,false,Check dyad,3,XXX160,4264,XXX160 - Civilians,XXX160,4870,XXX160 - Civilians,XXX160,3600,XXX160,9999,1,Civilians,1,"""El Ciudadano,2026-01-05,A teenager found in the Libertad club was executed with a shot to the head; he had already survived two attacks in 2024 """,El Ciudadano,2026-01-05,A teenager found in the Libertad club was executed with a shot to the head; he had already survived two attacks in 2024,El Ciudadano,1,Rosario town,"Santa Fe province
Rosario department
Rosario town, near Fonavi in Parque Oeste,  Libertad club",Santa Fe province,Rosario department,-32.957500,-60.639444,POINT (-60.639444 -32.9575),82319,Argentina,160,Americas,1,1,2026-01-05 00:00:00.000,2026-01-05 00:00:00.000,0,0,1,0,1,1,1,,
